Location Name,Address,Prepared Meal / Pantry Food,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Phone Number,Website,Comments,Pod
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Greenpoint Reformed Church,"136 Milton Street, Brooklyn NY 11222
",Takeout Meal,,,Takeout Dinner 6-7pm,,,,(718) 383-5941,greenpointhungerprogram.org/,"Confirmed as of May 1 Takeout Dinner: No financial proof, no ID requiredFood Pantry: No financial proof required; bring ID for each family member ",6
North Brooklyn Angels,"862 Manhattan Avenue, Brooklyn NY 11222",Takeout Meal,Takeout Lunch 12:30-1:30pm,,,Takeout Lunch 1:15-2:15pm ,,,(646) 339-0148,https://www.northbrooklynangels.org/,Confirmed as of May 1 The truck is parked in front of the steps of the St Anthony of Padua-St. Alphonsus church at the intersection of Manhattan Avenue and Milton Street.,6
North Brooklyn Angels,"288 Frost Street, Brooklyn NY 11222",Takeout Meal,Takeout Lunch 1:15-2:15pm ,,,Takeout Lunch 12:30-1:30pm,,,,https://www.northbrooklynangels.org/,Confirmed as of May 1 The truck is parked in front of the Cooper Park Houses playground at the intersection of Jackson Street and Debevoise Avenue.,18
North Brooklyn Angels,"240 Division Avenue, Brooklyn NY 11211",Takeout Meal,,Takeout Lunch 12:30-1:30pm,,,,,,https://www.northbrooklynangels.org/,"Confirmed as of May 1 The truck is parked across the street from the Williamsburgh Library on the Division Avenue Overpass, between Marcy Ave & Rodney Street.",29
North Brooklyn Angels,"195 Maujer Street, Brooklyn NY 11206",Takeout Meal,,,Takeout Lunch 12:30-1:30pm,,,,,https://www.northbrooklynangels.org/,"Confirmed as of May 1 The truck is parked in front of St. John the Evangelist Lutheran Church, across the street from the Williamsburg Houses",20
North Brooklyn Angels,"157 Johnson Avenue, Brooklyn NY 11206",Takeout Meal,,,,,Takeout Lunch 12:30-1:30pm,,,https://www.northbrooklynangels.org/,Confirmed as of May 1 The truck is parked on Johnson Ave outside the Most Holy Trinity parking lot.,31
North Brooklyn Angels,"1 Havemeyer Avenue, Brooklyn NY 11211",Takeout Meal,,,,,Takeout Lunch 12:30-1:30,,,https://www.northbrooklynangels.org/,Confirmed as of May 1 Meal is served from our community kitchen,16
Act of Faith Ministries,"141 Manhattan Avenue, Brooklyn NY 11206",Pantry Food,,,,Food Pantry 12-1pm,,,(516) 852-5934,,Have not confirmed,30
Food for Bklyn: Community Food Pantry,"55 Sutton Street, Brooklyn, NY 11222",Pantry Food,,,,,,Food Pantry 9-12pm,,https://www.gofundme.com/f/food-for-brooklyn?sharetype=teams&member=4354148&utm_medium=copy_link&utm_source=customer&utm_campaign=p_na%20share-sheet&rcid=c3353870165a43efa9271077d5939b82&fbclid=IwAR0Ajo0vhohfHwWMr6X7id8lq4jVjPkYjDIXchgK-oKoRnz7vg-EaR6LPkY,Confirmed as of May 13,9
Greenpoint Community Kitchen,"136 Milton Street, Brooklyn NY 11222",Pantry Food,,,,,,Food Pantry 11am-12pm,,https://www.instagram.com/greenpointcommunitykitchen/?hl=en,Food for anyone who needs it served to-go every Saturday. Confirmed as of May 1,6
Greenpoint Hunger Program,"136 Milton Street, Brooklyn NY 11222
",Pantry Food,,,,Food Pantry 4-7pm,,,,https://greenpointhungerprogram.org/,Confirmed as of May 1,6
Iglesia de Dios de la Profecia,"414 Hooper Street, Brooklyn NY 11211",Pantry Food,,,"Food Pantry
11:30am - 12:30pm",,,,(646) 339-0148,,Have not confirmed,26
Southside United - Los Sures ,"145 South 3rd Street, Suite C, Brooklyn, NY 11211",Pantry Food,,Food Pantry 10am-12pm,,,,,,,Confirmed as of May 1,27
Transfiguration Church,"263 Marcy Avenue, Brooklyn NY 11211",Pantry Food,Food Pantry 9am-12 pm,Food Pantry 9am-12 pm,Food Pantry 9am-12 pm,Food Pantry 9am-12 pm,,,(718) 782-8181,,Have not confirmed,29
Automotive High School,"50 Bedford Ave, Brooklyn NY 11222",Grab-and-Go DOE Meal,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,,,https://www.schools.nyc.gov/school-life/food/free-meals,"Meals can be picked up at all Meal Hubs 7:30 am to 1:30 pm, Monday through Friday
Meals Hubs will operate for children and families from 7:30 am to 11:30 am, and for adults from 11:30 am to 1:30 pm
No one will be turned away at any time
All adults and children can pick up multiple meals at one time
Vegetarian and halal options available at all sites
No dining space is available, so meals must be eaten off premises
Parents and guardians may pick up meals for their children
No registration or ID required",12
Brighter Choice Community School,"280 Hart Street, Brooklyn NY 11206",Grab-and-Go DOE Meal,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,,,https://www.schools.nyc.gov/school-life/food/free-meals,"Meals can be picked up at all Meal Hubs 7:30 am to 1:30 pm, Monday through Friday
Meals Hubs will operate for children and families from 7:30 am to 11:30 am, and for adults from 11:30 am to 1:30 pm
No one will be turned away at any time
All adults and children can pick up multiple meals at one time
Vegetarian and halal options available at all sites
No dining space is available, so meals must be eaten off premises
Parents and guardians may pick up meals for their children
No registration or ID required",
Brooklyn Arbor Elementary School,"325 South 3rd Street, Brooklyn NY 11211",Grab-and-Go DOE Meal,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,,,https://www.schools.nyc.gov/school-life/food/free-meals,"Meals can be picked up at all Meal Hubs 7:30 am to 1:30 pm, Monday through Friday
Meals Hubs will operate for children and families from 7:30 am to 11:30 am, and for adults from 11:30 am to 1:30 pm
No one will be turned away at any time
All adults and children can pick up multiple meals at one time
Vegetarian and halal options available at all sites
No dining space is available, so meals must be eaten off premises
Parents and guardians may pick up meals for their children
No registration or ID required",26
I.S. 318 Eugenio Maria De Hostos,"101 Walton Street, Brooklyn NY 11206",Grab-and-Go DOE Meal,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,,,https://www.schools.nyc.gov/school-life/food/free-meals,"Meals can be picked up at all Meal Hubs 7:30 am to 1:30 pm, Monday through Friday
Meals Hubs will operate for children and families from 7:30 am to 11:30 am, and for adults from 11:30 am to 1:30 pm
No one will be turned away at any time
All adults and children can pick up multiple meals at one time
Vegetarian and halal options available at all sites
No dining space is available, so meals must be eaten off premises
Parents and guardians may pick up meals for their children
No registration or ID required",32
J.H.S. 050 John D. Wells,"183 South 3rd Street, Brooklyn NY 11211",Grab-and-Go DOE Meal,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,,,https://www.schools.nyc.gov/school-life/food/free-meals,"Meals can be picked up at all Meal Hubs 7:30 am to 1:30 pm, Monday through Friday
Meals Hubs will operate for children and families from 7:30 am to 11:30 am, and for adults from 11:30 am to 1:30 pm
No one will be turned away at any time
All adults and children can pick up multiple meals at one time
Vegetarian and halal options available at all sites
No dining space is available, so meals must be eaten off premises
Parents and guardians may pick up meals for their children
No registration or ID required",27
P.S. 017 Henry D. Woodworth,"208 North 5th Street, Brooklyn NY 11211",Grab-and-Go DOE Meal,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,,,https://www.schools.nyc.gov/school-life/food/free-meals,"Meals can be picked up at all Meal Hubs 7:30 am to 1:30 pm, Monday through Friday
Meals Hubs will operate for children and families from 7:30 am to 11:30 am, and for adults from 11:30 am to 1:30 pm
No one will be turned away at any time
All adults and children can pick up multiple meals at one time
Vegetarian and halal options available at all sites
No dining space is available, so meals must be eaten off premises
Parents and guardians may pick up meals for their children
No registration or ID required",15
P.S. 031 Samuel F. Dupont,"75 Meserole Avenue, Brooklyn NY 11222",Grab-and-Go DOE Meal,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,,,https://www.schools.nyc.gov/school-life/food/free-meals,"Meals can be picked up at all Meal Hubs 7:30 am to 1:30 pm, Monday through Friday
Meals Hubs will operate for children and families from 7:30 am to 11:30 am, and for adults from 11:30 am to 1:30 pm
No one will be turned away at any time
All adults and children can pick up multiple meals at one time
Vegetarian and halal options available at all sites
No dining space is available, so meals must be eaten off premises
Parents and guardians may pick up meals for their children
No registration or ID required",7
P.S. 084 Jose De Diego ,"250 Berry Street, Brooklyn NY 11211",Grab-and-Go DOE Meal,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,,,https://www.schools.nyc.gov/school-life/food/free-meals,"Meals can be picked up at all Meal Hubs 7:30 am to 1:30 pm, Monday through Friday
Meals Hubs will operate for children and families from 7:30 am to 11:30 am, and for adults from 11:30 am to 1:30 pm
No one will be turned away at any time
All adults and children can pick up multiple meals at one time
Vegetarian and halal options available at all sites
No dining space is available, so meals must be eaten off premises
Parents and guardians may pick up meals for their children
No registration or ID required",27
P.S. 120 Carlos Tapia,"18 Beaver Street, Brooklyn NY 11206",Grab-and-Go DOE Meal,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,,,https://www.schools.nyc.gov/school-life/food/free-meals,"Meals can be picked up at all Meal Hubs 7:30 am to 1:30 pm, Monday through Friday
Meals Hubs will operate for children and families from 7:30 am to 11:30 am, and for adults from 11:30 am to 1:30 pm
No one will be turned away at any time
All adults and children can pick up multiple meals at one time
Vegetarian and halal options available at all sites
No dining space is available, so meals must be eaten off premises
Parents and guardians may pick up meals for their children
No registration or ID required",22
P.S. 147 Isaac Remsen,"325 Bushwick Avenue, Brooklyn NY 11206",Grab-and-Go DOE Meal,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,,,https://www.schools.nyc.gov/school-life/food/free-meals,"Meals can be picked up at all Meal Hubs 7:30 am to 1:30 pm, Monday through Friday
Meals Hubs will operate for children and families from 7:30 am to 11:30 am, and for adults from 11:30 am to 1:30 pm
No one will be turned away at any time
All adults and children can pick up multiple meals at one time
Vegetarian and halal options available at all sites
No dining space is available, so meals must be eaten off premises
Parents and guardians may pick up meals for their children
No registration or ID required",22
P.S. 196 Ten Eyck,"207 Bushwick Avenue, Brooklyn NY 11206",Grab-and-Go DOE Meal,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,,,https://www.schools.nyc.gov/school-life/food/free-meals,"Meals can be picked up at all Meal Hubs 7:30 am to 1:30 pm, Monday through Friday
Meals Hubs will operate for children and families from 7:30 am to 11:30 am, and for adults from 11:30 am to 1:30 pm
No one will be turned away at any time
All adults and children can pick up multiple meals at one time
Vegetarian and halal options available at all sites
No dining space is available, so meals must be eaten off premises
Parents and guardians may pick up meals for their children
No registration or ID required",21
P.S. 250 George H. Lindsay,"108 Montrose Avenue, Brooklyn NY 11206",Grab-and-Go DOE Meal,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,,,https://www.schools.nyc.gov/school-life/food/free-meals,"Meals can be picked up at all Meal Hubs 7:30 am to 1:30 pm, Monday through Friday
Meals Hubs will operate for children and families from 7:30 am to 11:30 am, and for adults from 11:30 am to 1:30 pm
No one will be turned away at any time
All adults and children can pick up multiple meals at one time
Vegetarian and halal options available at all sites
No dining space is available, so meals must be eaten off premises
Parents and guardians may pick up meals for their children
No registration or ID required",30
P.S. 297 Abraham Stockton,"700 Park Avenue, Brooklyn NY 11206",Grab-and-Go DOE Meal,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,,,https://www.schools.nyc.gov/school-life/food/free-meals,"Meals can be picked up at all Meal Hubs 7:30 am to 1:30 pm, Monday through Friday
Meals Hubs will operate for children and families from 7:30 am to 11:30 am, and for adults from 11:30 am to 1:30 pm
No one will be turned away at any time
All adults and children can pick up multiple meals at one time
Vegetarian and halal options available at all sites
No dining space is available, so meals must be eaten off premises
Parents and guardians may pick up meals for their children
No registration or ID required",32
P.S. 380 John Wayne Elementary,"370 Marcy Avenue, Brooklyn NY 11206",Grab-and-Go DOE Meal,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,,,https://www.schools.nyc.gov/school-life/food/free-meals,"Meals can be picked up at all Meal Hubs 7:30 am to 1:30 pm, Monday through Friday
Meals Hubs will operate for children and families from 7:30 am to 11:30 am, and for adults from 11:30 am to 1:30 pm
No one will be turned away at any time
All adults and children can pick up multiple meals at one time
Vegetarian and halal options available at all sites
No dining space is available, so meals must be eaten off premises
Parents and guardians may pick up meals for their children
No registration or ID required",33
Williamsburg High School for Art and Technology,"223 Graham Avenue, Brooklyn NY 11206",Grab-and-Go DOE Meal,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,,,https://www.schools.nyc.gov/school-life/food/free-meals,"Meals can be picked up at all Meal Hubs 7:30 am to 1:30 pm, Monday through Friday
Meals Hubs will operate for children and families from 7:30 am to 11:30 am, and for adults from 11:30 am to 1:30 pm
No one will be turned away at any time
All adults and children can pick up multiple meals at one time
Vegetarian and halal options available at all sites
No dining space is available, so meals must be eaten off premises
Parents and guardians may pick up meals for their children
No registration or ID required",30
P.S. 132 The Conselyea School – K132 ,"320 Manhattan Avenue, Brooklyn 11211",Grab-and-Go DOE Meal (with Kosher options),Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,,,https://www.schools.nyc.gov/school-life/food/free-meals,"KOSHER MEALS Meals can be picked up at all Meal Hubs 7:30 am to 1:30 pm, Monday through FridayMeals Hubs will operate for children and families from 7:30 am to 11:30 am, and for adults from 11:30 am to 1:30 pmNo one will be turned away at any timeAll adults and children can pick up multiple meals at one timeVegetarian and halal options available at all sitesNo dining space is available, so meals must be eaten off premisesParents and guardians may pick up meals for their childrenNo registration or ID required",18
PS 257 John F Hylan ,"60 Cook Street, Brooklyn NY 11206",Grab-and-Go DOE Meal (with Kosher options),Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,Grab and Go Meals 7:30-1:30,,,https://www.schools.nyc.gov/school-life/food/free-meals,"KOSHER MEALS Meals can be picked up at all Meal Hubs 7:30 am to 1:30 pm, Monday through FridayMeals Hubs will operate for children and families from 7:30 am to 11:30 am, and for adults from 11:30 am to 1:30 pmNo one will be turned away at any timeAll adults and children can pick up multiple meals at one timeVegetarian and halal options available at all sitesNo dining space is available, so meals must be eaten off premisesParents and guardians may pick up meals for their childrenNo registration or ID required",22